Genomas	Nicho
2740892069	mamifero
2886129330	mamifero
2740892099	mamifero
8010912407	mamifero
2888734210	mamifero
2740892080	mamifero
8073372055	mamifero
2980600606	mamifero
2568526708	mamifero
2718218367	mamifero
2700989445	mamifero
2888807965	mamifero
8070892781	mamifero
2740892054	mamifero
8046155828	mamifero
2571042301	mamifero
2579779047	mamifero
2872566744	mamifero
2718217765	mamifero
8072897671	mamifero
2700989439	mamifero
8072915502	mamifero
2850966357	mamifero
2548876758	mamifero
2897160482	mamifero
8073310260	mamifero
2579778620	mamifero
2775506784	mamifero
2758568623	mamifero
2667527606	mamifero
2571042699	mamifero
2675903566	mamifero
8011248032	mamifero
8070587448	mamifero
8072013882	mamifero
2579779027	mamifero
8011362056	mamifero
8073944910	mamifero
2571042077	mamifero
2554235471	mamifero
2740892010	mamifero
2980545637	mamifero
2687453356	mamifero
2582580923	mamifero
2519899785	mamifero
2740892058	mamifero
2609460055	mamifero
2579778948	mamifero
2574180211	mamifero
2684622815	mamifero
2568526219	mamifero
2519103020	mamifero
8072074097	mamifero
8070819214	mamifero
2571042490	mamifero
2558309079	mamifero
2867923913	mamifero
2548876813	mamifero
2740892070	mamifero
2972052075	mamifero
8071981804	mamifero
8034978263	mamifero
2582580982	mamifero
2579778540	mamifero
8072050143	mamifero
2571042171	mamifero
2582580977	mamifero
2926430786	mamifero
2744054662	mamifero
2507262021	mamifero
2579779066	mamifero
8010824349	mamifero
2965941674	mamifero
2888827700	mamifero
2558860367	mamifero
2579778580	mamifero
2986601762	mamifero
8070812776	mamifero
2740892060	mamifero
2740892090	mamifero
2630968708	mamifero
2740892089	mamifero
2502790010	mamifero
2962471536	mamifero
2718218424	mamifero
8011037248	mamifero
2700989441	mamifero
8035427975	mamifero
2926037195	mamifero
2579779017	mamifero
2980583476	mamifero
2877813470	mamifero
8011381643	mamifero
2988745281	mamifero
2574180050	mamifero
2537561515	mamifero
2740892009	mamifero
2645728065	mamifero
2850985981	mamifero
2571042519	mamifero
2574179945	mamifero
2582580913	mamifero
2579779063	mamifero
2574180135	mamifero
2721755597	mamifero
2579778853	mamifero
2740892079	mamifero
8073939788	mamifero
2917039186	mamifero
2990205228	mamifero
2579778733	mamifero
2579778558	mamifero
637000218	mamifero
8010792475	mamifero
2675902959	mamifero
2582580927	mamifero
2660238192	mamifero
8010811967	mamifero
8011261828	mamifero
8073406057	mamifero
2684622811	mamifero
2718218317	mamifero
2510461025	mamifero
2556921653	mamifero
2938977233	mamifero
2615840571	mamifero
2562617104	mamifero
2880183892	mamifero
2579778950	mamifero
2920935178	mamifero
2675903567	mamifero
2888821323	mamifero
2888767948	mamifero
8019204246	mamifero
2962415168	mamifero
2571042514	mamifero
2579778823	mamifero
2897185216	mamifero
2574180328	mamifero
2507262023	mamifero
8071039859	mamifero
2870319472	mamifero
2582580894	mamifero
8052576720	mamifero
2579779106	mamifero
2558860918	mamifero
