"especie"	"cantidad"
"Pseudomonas aeruginosa"	975
"Pseudomonas fulva"	9
"Pseudomonas furukawaii"	1
"Pseudomonas amygdali"	93
"Pseudomonas syringae"	235
"Pseudomonas sp. R21(2017)"	1
"Pseudomonas guangdongensis"	1
"Pseudomonas putida"	114
"Pseudomonas helmanticensis"	2
"Pseudomonas sp. SJZ073"	1
"Pseudomonas sp. GD03919"	1
"Pseudomonas sp. R2-7-07"	1
"Pseudomonas sp. N40(2020)"	1
"Pseudomonas reinekei"	8
"Pseudomonas sp. GM49"	1
"Pseudomonas chlororaphis"	87
"Pseudomonas viridiflava"	181
"Pseudomonas coronafaciens"	70
"Pseudomonas sp."	18
"Pseudomonas sp. FW305-25"	1
"Pseudomonas sp. FW306-2-11AA"	1
"Pseudomonas sp. CMR5c"	2
"Pseudomonas thivervalensis"	6
"Pseudomonas silensiensis"	2
"Pseudomonas corrugata"	9
"Pseudomonas fluorescens"	138
"Pseudomonas sp. NFPP08"	1
"Pseudomonas lini"	5
"Pseudomonas kurunegalensis"	1
"Pseudomonas savastanoi"	110
"Pseudomonas sp. JAI115"	1
"Pseudomonas alcaliphila"	5
"Pseudomonas mosselii"	7
"Pseudomonas cannabina"	11
"Pseudomonas vlassakiae"	1
"Pseudomonas sp. JdFR-91"	1
"Pseudomonas sp. R4-34-07"	1
"Pseudomonas avellanae"	14
"Pseudomonas congelans"	7
"Pseudomonas prosekii"	5
"Pseudomonas punonensis"	2
"Pseudomonas syringae group genomosp. 3"	31
"Pseudomonas sp. A25(2017)"	1
"Pseudomonas protegens"	34
"Pseudomonas sp. 30_B"	1
"Pseudomonas sp. MPC6"	1
"Pseudomonas chengduensis"	3
"Pseudomonas sp. B21_DOA"	1
"Pseudomonas weihenstephanensis"	2
"Pseudomonas sp. Leaf58"	2
"Pseudomonas sihuiensis"	3
"Pseudomonas sp. NFPP19"	1
"Pseudomonas sp. FW306-2-1A-C05A"	1
"unclassified"	56
"Pseudomonas sp. Irchel 3A7"	1
"Pseudomonas sp. BLCC-B13"	1
"Pseudomonas sp. QTF5"	1
"Pseudomonas guariconensis"	3
"Pseudomonas sp. NFACC43"	1
"Pseudomonas sp. LPH1"	1
"Pseudomonas sp. PA27(2017)"	1
"Pseudomonas sp. GW456-L12"	1
"Pseudomonas psychrophila"	10
"Pseudomonas sp. Ag1"	1
"Pseudomonas sp. S09G 359"	1
"Pseudomonas sp. SLBN-2"	1
"Pseudomonas sp. LS-2"	1
"Pseudomonas sp. H1D6A"	1
"Pseudomonas syringae pv. coryli"	2
"Pseudomonas tolaasii"	5
"Pseudomonas sp. GP01-A6"	1
"Pseudomonas khorasanensis"	1
"Pseudomonas sp. GW247-5R2A"	1
"Pseudomonas sp. 21"	1
"Pseudomonas psychrotolerans"	21
"Pseudomonas sp. NFACC06-1"	1
"Pseudomonas sp. CC120222-01a"	1
"Pseudomonas sp. R32"	1
"Pseudomonas sp. HTZ2"	1
"Pseudomonas cichorii"	11
"Pseudomonas sp. ABAC21"	1
"Pseudomonas grimontii"	2
"Pseudomonas baltica"	1
"Pseudomonas sp. 31-12"	1
"Pseudomonas atacamensis"	2
"Pseudomonas sp. BP8"	1
"Pseudomonas koreensis"	13
"Pseudomonas sp. JdFR-92"	1
"Pseudomonas sp. ZM25"	1
"Pseudomonas fragi"	20
"Pseudomonas oleovorans"	18
"Pseudomonas haemolytica"	2
"Pseudomonas tremae"	1
"Pseudomonas sp. OV657"	1
"Pseudomonas sp. SID14000"	1
"Pseudomonas trivialis"	6
"Pseudomonas poae"	13
"Pseudomonas pharmacofabricae"	1
"Pseudomonas sp. S9"	1
"Pseudomonas sp. 1 R 17"	1
"Pseudomonas sp. A2"	1
"Pseudomonas sp. TCU-HL1"	1
"Pseudomonas knackmussii"	2
"Pseudomonas cavernae"	1
"Pseudomonas graminis"	5
"Pseudomonas sp. TH15"	1
"Pseudomonas sp. LAMO17WK12:I12"	1
"Pseudomonas sp. FW305-42"	1
"Pseudomonas gingeri"	5
"Pseudomonas asplenii"	5
"Pseudomonas sp. GM78"	1
"Pseudomonas sp. GW460-12-1-14-LB3"	1
"Pseudomonas sp. 45MFCol3.1"	1
"Pseudomonas sp. NBRC 111118"	1
"Pseudomonas maumuensis"	1
"Pseudomonas cremoris"	2
"Pseudomonas sp. GGS8"	1
"Pseudomonas thermotolerans"	2
"Pseudomonas abietaniphila"	3
"Pseudomonas donghuensis"	3
"Pseudomonas eucalypticola"	1
"Pseudomonas alcaligenes"	12
"Pseudomonas sp. LP_4_YM"	1
"Pseudomonas sp. NBRC 111138"	1
"Pseudomonas sp. NFACC37-1"	1
"Pseudomonas sp. URIL14HWK12:I2"	1
"Pseudomonas umsongensis"	5
"Pseudomonas soli"	3
"Pseudomonas costantinii"	2
"Pseudomonas tohonis"	4
