Genomas	Nicho
2531839224	Ambiente
2885888304	Ambiente
3007425842	Ambiente
2935458641	Ambiente
3007731458	Ambiente
2791355532	Ambiente
2795385510	Ambiente
2931063589	Ambiente
2918554024	Ambiente
8046774930	Ambiente
2806311028	Ambiente
8070856031	Ambiente
2988734134	Ambiente
2791355644	Ambiente
2671181143	Ambiente
2867863894	Ambiente
2791355637	Ambiente
2597490269	Ambiente
2767802284	Ambiente
2791355528	Ambiente
2738541226	Ambiente
2506783029	Ambiente
2857690720	Ambiente
2791355564	Ambiente
2791355594	Ambiente
2740892462	Ambiente
2806311048	Ambiente
2639762651	Ambiente
2990219107	Ambiente
2962433822	Ambiente
8034996212	Ambiente
2893618810	Ambiente
2721755517	Ambiente
2548876816	Ambiente
8011143647	Ambiente
2972070075	Ambiente
2988781840	Ambiente
2918548257	Ambiente
8034959130	Ambiente
2916996477	Ambiente
2513237292	Ambiente
2767802278	Ambiente
2728369353	Ambiente
2648501512	Ambiente
2684623188	Ambiente
2873366528	Ambiente
2791355559	Ambiente
2734482259	Ambiente
2791355548	Ambiente
2926928646	Ambiente
8043885334	Ambiente
2867895920	Ambiente
2554235098	Ambiente
8035338204	Ambiente
2917099900	Ambiente
2791355624	Ambiente
8035233717	Ambiente
8035372141	Ambiente
3007488259	Ambiente
2791355524	Ambiente
2808606397	Ambiente
2747842422	Ambiente
2700989495	Ambiente
2784132035	Ambiente
2751186034	Ambiente
8035367486	Ambiente
2740892467	Ambiente
8073359950	Ambiente
3007431619	Ambiente
8011200657	Ambiente
2507262001	Ambiente
2513237276	Ambiente
2791355628	Ambiente
2844680674	Ambiente
3007794984	Ambiente
3007819985	Ambiente
2541047103	Ambiente
2806311068	Ambiente
8044634723	Ambiente
2648501651	Ambiente
2791355537	Ambiente
8070555523	Ambiente
2791355544	Ambiente
3007501137	Ambiente
2885808348	Ambiente
2881801170	Ambiente
8035377056	Ambiente
8011280068	Ambiente
2886060556	Ambiente
2767802274	Ambiente
8035050698	Ambiente
2648501543	Ambiente
2791355632	Ambiente
2791355598	Ambiente
2510461030	Ambiente
8035433570	Ambiente
2791355568	Ambiente
8070905015	Ambiente
2917190755	Ambiente
2885847919	Ambiente
2971969578	Ambiente
2716884901	Ambiente
2791354873	Ambiente
2791355633	Ambiente
2791355584	Ambiente
2718218193	Ambiente
2563366586	Ambiente
3007625790	Ambiente
2639762638	Ambiente
2639762506	Ambiente
2600255294	Ambiente
650716075	Ambiente
2917148488	Ambiente
8011207097	Ambiente
2548876812	Ambiente
2791355550	Ambiente
2856515415	Ambiente
2808606396	Ambiente
2881795172	Ambiente
2541047102	Ambiente
8070622380	Ambiente
2993260269	Ambiente
8072123992	Ambiente
2885916348	Ambiente
8071832474	Ambiente
8070862198	Ambiente
3007645781	Ambiente
2568526744	Ambiente
2885853826	Ambiente
2927991490	Ambiente
2935307212	Ambiente
2806310669	Ambiente
2579778841	Ambiente
2897208644	Ambiente
2505679082	Ambiente
2998151678	Ambiente
2881219220	Ambiente
2791355578	Ambiente
2565956706	Ambiente
2984305856	Ambiente
2988718525	Ambiente
2579778704	Ambiente
2965897571	Ambiente
2791355614	Ambiente
2568526153	Ambiente
8045414917	Ambiente
2767802264	Ambiente
2551306728	Ambiente
2885911132	Ambiente
2747842423	Ambiente
2506783020	Ambiente
2791355536	Ambiente
2791355608	Ambiente
2775507200	Ambiente
2885949775	Ambiente
2791355636	Ambiente
2988739781	Ambiente
8035332281	Ambiente
2993265782	Ambiente
2675903647	Ambiente
3007750090	Ambiente
2703719185	Ambiente
2965960871	Ambiente
8035439788	Ambiente
2984232459	Ambiente
2684622590	Ambiente
8073508492	Ambiente
2808606363	Ambiente
2808606393	Ambiente
2517487005	Ambiente
2886067821	Ambiente
2791355588	Ambiente
2687453569	Ambiente
8035362727	Ambiente
2568526560	Ambiente
2885944559	Ambiente
3007246537	Ambiente
3007837375	Ambiente
2660238313	Ambiente
8070581484	Ambiente
2531839204	Ambiente
2917077041	Ambiente
2713897223	Ambiente
2767802268	Ambiente
2791355618	Ambiente
2775507210	Ambiente
2886011095	Ambiente
2997890428	Ambiente
3007528711	Ambiente
2931108034	Ambiente
2826325882	Ambiente
2791355574	Ambiente
3007279860	Ambiente
2935343106	Ambiente
2509276053	Ambiente
2795385509	Ambiente
8035410887	Ambiente
2881818675	Ambiente
2885905433	Ambiente
8046952167	Ambiente
2545824744	Ambiente
2728369569	Ambiente
2791355533	Ambiente
2548876817	Ambiente
2663762780	Ambiente
2574179792	Ambiente
2767802269	Ambiente
2885955511	Ambiente
2508501006	Ambiente
2791355631	Ambiente
2548876714	Ambiente
2986553348	Ambiente
2585427615	Ambiente
2767802280	Ambiente
2565956771	Ambiente
2791355619	Ambiente
2935247710	Ambiente
8052222075	Ambiente
8010886980	Ambiente
2667527211	Ambiente
8070574970	Ambiente
2791355640	Ambiente
2511231047	Ambiente
3007768848	Ambiente
8035158522	Ambiente
2844758135	Ambiente
2795385508	Ambiente
2524023231	Ambiente
2997901528	Ambiente
8034909009	Ambiente
2663763601	Ambiente
2547132145	Ambiente
8072128020	Ambiente
3007442566	Ambiente
2791355620	Ambiente
2507262002	Ambiente
8017051857	Ambiente
2645727751	Ambiente
8034893111	Ambiente
2877794441	Ambiente
2734482072	Ambiente
2969360729	Ambiente
2881835490	Ambiente
8055666059	Ambiente
2597490176	Ambiente
8070874514	Ambiente
8011212064	Ambiente
2925732014	Ambiente
2864676799	Ambiente
2791355589	Ambiente
3007494343	Ambiente
2885859724	Ambiente
8035057119	Ambiente
2791355560	Ambiente
8011232364	Ambiente
2667527225	Ambiente
2791355590	Ambiente
2929269661	Ambiente
2860910490	Ambiente
2980540963	Ambiente
8072203289	Ambiente
2814122901	Ambiente
8034931340	Ambiente
2859920349	Ambiente
2885899876	Ambiente
8047785607	Ambiente
2524614738	Ambiente
2885825926	Ambiente
2791355579	Ambiente
2888847681	Ambiente
2551306151	Ambiente
2663762900	Ambiente
8011222109	Ambiente
2731639261	Ambiente
8045246715	Ambiente
2931015329	Ambiente
2791355609	Ambiente
3007706501	Ambiente
2965873108	Ambiente
2913023320	Ambiente
2721755595	Ambiente
2713897221	Ambiente
2568526052	Ambiente
2551306468	Ambiente
8072144035	Ambiente
