Genomas	Nicho
2758568623	Mamifero
2926430786	Mamifero
2718218424	Mamifero
2926037195	Mamifero
2990205228	Mamifero
2880183892	Mamifero
2926711944	Mamifero
2926743535	Mamifero
2926437103	Mamifero
2888740852	Mamifero
2926054728	Mamifero
2926030764	Mamifero
2926452230	Mamifero
2926726868	Mamifero
2718218406	Mamifero
8011241049	Mamifero
2926443539	Mamifero
8071278684	Mamifero
8072032610	Mamifero
2926458599	Mamifero
8070702223	Mamifero
2998199935	Mamifero
8070048847	Mamifero
2740892069	Mamifero
2886129330	Mamifero
2740892099	Mamifero
8010912407	Mamifero
2888734210	Mamifero
2740892080	Mamifero
8073372055	Mamifero
2980600606	Mamifero
2568526708	Mamifero
2718218367	Mamifero
2700989445	Mamifero
2888807965	Mamifero
8070892781	Mamifero
2740892054	Mamifero
8046155828	Mamifero
2571042301	Mamifero
2579779047	Mamifero
2872566744	Mamifero
2718217765	Mamifero
8072897671	Mamifero
2700989439	Mamifero
8072915502	Mamifero
2850966357	Mamifero
2548876758	Mamifero
2897160482	Mamifero
8073310260	Mamifero
2579778620	Mamifero
2775506784	Mamifero
2667527606	Mamifero
2571042699	Mamifero
2675903566	Mamifero
8011248032	Mamifero
8070587448	Mamifero
8072013882	Mamifero
2579779027	Mamifero
8011362056	Mamifero
8073944910	Mamifero
2571042077	Mamifero
2554235471	Mamifero
2740892010	Mamifero
2980545637	Mamifero
2687453356	Mamifero
2582580923	Mamifero
2519899785	Mamifero
2740892058	Mamifero
2609460055	Mamifero
2579778948	Mamifero
2574180211	Mamifero
2684622815	Mamifero
2568526219	Mamifero
2519103020	Mamifero
8072074097	Mamifero
8070819214	Mamifero
2571042490	Mamifero
2558309079	Mamifero
2867923913	Mamifero
2548876813	Mamifero
2740892070	Mamifero
2972052075	Mamifero
8071981804	Mamifero
8034978263	Mamifero
2582580982	Mamifero
2579778540	Mamifero
8072050143	Mamifero
2571042171	Mamifero
2582580977	Mamifero
2744054662	Mamifero
2507262021	Mamifero
2579779066	Mamifero
8010824349	Mamifero
2965941674	Mamifero
2888827700	Mamifero
2558860367	Mamifero
2579778580	Mamifero
2986601762	Mamifero
8070812776	Mamifero
2740892060	Mamifero
2740892090	Mamifero
2630968708	Mamifero
2740892089	Mamifero
2502790010	Mamifero
2962471536	Mamifero
8011037248	Mamifero
2700989441	Mamifero
8035427975	Mamifero
2579779017	Mamifero
2980583476	Mamifero
2877813470	Mamifero
8011381643	Mamifero
2988745281	Mamifero
2574180050	Mamifero
2537561515	Mamifero
2740892009	Mamifero
2645728065	Mamifero
2850985981	Mamifero
2571042519	Mamifero
2574179945	Mamifero
2582580913	Mamifero
2579779063	Mamifero
2574180135	Mamifero
2721755597	Mamifero
2579778853	Mamifero
2740892079	Mamifero
8073939788	Mamifero
2917039186	Mamifero
2579778733	Mamifero
2579778558	Mamifero
637000218	Mamifero
8010792475	Mamifero
2675902959	Mamifero
2582580927	Mamifero
2660238192	Mamifero
8010811967	Mamifero
8011261828	Mamifero
8073406057	Mamifero
2684622811	Mamifero
2718218317	Mamifero
2510461025	Mamifero
2556921653	Mamifero
2938977233	Mamifero
2615840571	Mamifero
2562617104	Mamifero
2579778950	Mamifero
2920935178	Mamifero
2675903567	Mamifero
2888821323	Mamifero
2888767948	Mamifero
8019204246	Mamifero
2962415168	Mamifero
2571042514	Mamifero
2579778823	Mamifero
2897185216	Mamifero
2574180328	Mamifero
