,Originales,Predicciones
0,1,1
1,1,1
2,0,0
3,1,1
4,1,1
5,1,0
6,1,1
7,0,0
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,0,0
14,1,1
15,0,0
16,1,1
17,1,1
18,1,1
19,1,1
20,0,0
21,1,1
22,0,0
23,1,1
24,1,1
25,1,1
26,1,0
27,1,1
28,1,1
29,0,1
30,0,0
31,1,1
32,0,0
33,1,1
34,1,0
35,1,1
36,0,0
37,1,1
38,1,0
39,1,1
40,0,0
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,0,0
49,1,1
50,1,1
51,1,1
52,0,0
53,1,0
54,1,1
55,0,0
56,0,0
57,1,1
58,1,1
59,0,0
60,0,0
61,1,1
62,0,0
63,0,1
64,0,0
65,1,1
66,1,1
67,1,0
68,1,1
69,0,1
70,1,1
71,1,1
72,1,1
73,1,1
74,0,0
75,0,0
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,0,0
83,0,0
84,0,0
85,1,1
86,1,1
87,1,1
88,0,0
89,1,1
90,0,0
91,1,1
92,1,1
93,1,1
94,1,1
95,0,1
96,1,1
97,1,1
98,0,0
99,1,1
100,0,1
101,1,1
102,0,1
103,1,1
104,0,0
105,1,1
106,0,1
107,1,1
108,0,0
109,1,1
110,0,0
111,1,0
112,0,0
113,1,1
114,0,0
115,1,1
116,1,1
117,1,1
118,1,1
119,1,0
120,1,1
121,0,1
122,0,1
123,1,1
124,0,0
125,1,1
126,1,0
127,0,0
128,1,0
129,0,1
130,1,1
131,1,1
132,1,1
133,1,1
134,1,1
135,0,0
136,1,1
137,0,1
138,1,1
139,0,0
140,0,0
141,0,1
142,1,1
143,0,1
144,1,1
145,0,1
146,1,0
147,1,1
148,0,0
149,1,1
150,1,1
151,1,1
152,1,1
153,0,0
154,1,1
155,1,1
156,1,0
157,1,0
158,0,1
159,1,1
160,0,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,0,0
167,1,1
168,1,1
169,1,1
170,1,1
171,1,0
172,1,1
173,1,1
174,1,1
175,1,1
176,0,0
177,1,1
178,1,1
179,1,1
180,1,1
181,0,1
182,0,1
183,1,1
184,1,1
185,0,0
186,0,0
187,1,1
188,1,0
189,1,1
190,1,1
191,0,0
192,0,1
193,1,1
194,1,1
195,1,1
196,1,1
197,0,1
198,1,1
199,1,0
200,1,0
201,1,1
202,1,1
203,0,0
204,1,1
205,1,1
206,0,0
207,1,1
208,1,1
209,1,1
210,1,1
211,1,1
212,1,1
213,1,1
214,1,1
215,0,1
216,0,0
217,1,1
218,1,1
219,1,1
220,1,1
221,0,1
222,1,1
223,0,1
224,1,1
225,1,0
226,1,1
227,0,0
228,1,1
229,1,1
230,1,0
231,0,0
232,0,0
233,0,0
234,1,1
235,1,1
236,0,1
237,1,0
238,1,1
239,0,0
240,0,1
241,1,1
242,1,1
243,1,1
244,1,1
245,1,1
246,0,0
247,1,0
248,0,1
249,0,0
250,1,1
251,1,1
252,1,1
253,0,0
254,1,1
255,1,1
256,0,1
257,0,1
258,1,1
259,1,1
260,1,1
261,0,1
262,1,1
263,1,1
264,0,0
265,1,1
266,1,1
267,0,0
268,1,1
269,1,1
270,0,0
271,1,1
272,0,0
273,1,1
274,1,0
275,1,1
276,1,1
277,0,0
278,1,1
279,0,0
280,0,0
281,1,1
282,1,1
283,0,0
284,1,1
285,1,1
286,0,0
287,1,1
288,1,1
289,1,0
290,1,1
291,1,1
292,1,1
293,1,0
294,0,1
295,1,1
296,1,1
297,0,0
298,1,1
299,1,1
300,1,1
301,1,1
302,1,1
303,0,0
304,1,1
305,0,1
306,1,1
307,1,1
308,0,0
309,1,1
310,0,0
311,1,1
312,1,1
313,1,1
314,1,1
315,1,1
316,1,0
317,1,1
318,1,1
319,0,0
320,1,0
321,1,1
322,0,0
323,1,1
324,0,1
325,0,0
326,1,0
327,1,1
328,1,0
329,1,1
330,0,1
331,0,0
332,1,1
333,1,1
334,1,1
335,0,1
336,0,0
337,1,0
338,1,1
339,0,0
340,1,1
341,0,0
342,1,0
343,0,0
344,0,1
345,1,1
346,1,1
347,1,1
348,0,0
349,1,1
350,0,0
351,1,1
352,0,1
353,0,1
354,0,1
355,1,1
356,0,1
357,1,1
358,0,0
359,1,1
360,1,1
361,0,0
362,1,1
363,1,1
364,0,1
365,1,1
366,0,1
367,0,0
368,0,0
369,0,0
370,1,1
371,0,1
372,1,1
373,0,0
374,0,0
375,0,0
376,0,1
377,1,1
378,1,1
379,0,0
380,1,0
381,0,1
382,1,1
383,1,1
384,1,1
385,1,1
386,0,0
387,0,0
388,0,0
389,1,0
390,1,1
391,0,1
392,1,1
393,1,1
394,1,1
395,1,1
396,1,0
397,1,1
398,0,0
399,1,1
400,1,1
401,1,1
402,1,1
403,1,1
404,1,1
405,0,1
406,0,1
407,1,1
408,0,0
409,1,0
410,0,0
411,1,1
412,1,1
413,1,0
414,1,1
415,1,0
416,1,1
417,1,0
418,0,1
419,1,1
420,1,1
421,1,1
422,1,1
423,0,0
424,1,1
425,1,1
426,1,1
427,0,0
428,1,1
429,0,0
430,0,0
431,1,1
432,0,0
433,0,0
434,1,1
435,0,0
436,0,0
437,1,1
438,1,1
439,1,1
440,1,1
441,0,0
442,1,1
443,1,1
444,1,1
445,1,1
446,1,1
447,0,0
448,1,0
449,0,0
450,1,1
451,1,1
452,1,1
453,1,1
454,1,1
455,0,0
456,1,1
457,0,1
458,1,1
459,1,1
460,0,0
461,0,0
462,1,1
463,0,0
464,1,1
465,1,1
466,0,0
467,1,1
468,0,0
469,1,1
470,1,1
471,0,0
472,1,1
473,1,1
474,1,1
475,1,1
476,1,1
477,1,1
478,0,0
479,1,1
480,1,1
481,1,1
482,1,1
483,1,1
484,1,1
485,1,1
486,1,1
487,1,1
488,1,1
489,0,0
490,1,1
