,Originales,Predicciones
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,0,0
8,1,1
9,0,0
10,1,1
11,0,0
12,0,0
13,1,1
14,0,1
15,1,1
16,1,1
17,0,0
18,0,0
19,0,0
20,1,1
21,0,0
22,0,0
23,1,1
24,0,0
25,1,1
26,1,1
27,1,1
28,1,1
29,0,0
30,1,1
31,0,0
32,1,1
33,1,1
34,1,1
35,0,0
36,0,0
37,0,0
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,0,0
46,1,1
47,1,1
48,1,1
49,0,0
50,1,1
51,0,0
52,1,1
53,1,1
54,1,1
55,0,0
56,0,0
57,1,1
58,1,1
59,1,1
60,0,0
61,0,0
62,1,1
63,0,0
64,0,1
65,1,1
66,0,0
67,1,1
68,1,1
69,1,1
70,1,1
71,1,1
72,1,1
73,0,0
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,0,0
83,1,1
84,0,0
85,1,1
86,1,1
87,0,0
88,1,1
89,1,1
90,0,0
91,0,0
92,1,1
93,0,0
94,1,1
95,1,1
96,1,1
97,0,0
98,1,1
99,0,0
100,1,1
101,0,0
102,1,1
103,1,1
104,0,0
105,0,0
106,1,1
107,0,0
108,1,1
109,0,0
110,0,0
111,1,1
112,0,0
113,1,1
114,1,1
115,0,0
116,1,1
117,1,1
118,1,0
119,1,1
120,1,1
121,0,0
122,0,0
123,1,1
124,0,0
125,1,1
126,1,1
127,1,1
128,1,1
129,1,0
130,0,1
131,0,0
132,1,1
133,1,1
134,1,1
135,0,0
136,0,0
137,1,1
138,0,0
139,0,0
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,0,0
149,0,0
150,1,1
151,1,1
152,0,0
153,1,1
154,1,1
155,1,1
156,0,1
157,0,0
158,0,0
159,1,1
160,0,0
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,0,0
167,1,1
168,1,1
169,0,0
170,1,1
171,1,1
172,0,0
173,1,1
174,1,1
175,0,0
176,0,0
177,1,1
178,1,1
179,0,0
180,1,1
181,1,1
182,1,1
183,0,0
184,0,0
185,1,1
186,0,0
187,1,1
188,0,0
189,0,0
190,1,1
191,0,0
192,1,1
193,1,1
194,1,1
195,1,1
196,1,1
197,1,1
198,0,0
199,1,1
200,0,0
201,1,1
202,1,1
203,1,1
204,1,1
205,1,1
206,1,1
207,1,1
208,1,1
209,1,1
210,1,1
211,0,0
212,1,1
213,1,0
214,0,0
215,1,1
216,1,1
217,1,1
218,1,1
219,1,1
220,1,1
221,0,0
222,0,0
223,1,1
224,1,1
225,0,0
226,0,1
227,1,1
228,1,1
229,0,0
230,0,0
231,1,1
232,1,1
233,0,0
234,0,0
235,1,1
236,1,1
237,1,1
238,0,0
239,1,1
240,0,0
241,0,0
242,0,0
243,1,1
244,1,1
245,1,1
246,1,1
247,0,0
248,0,0
249,1,1
250,1,1
251,1,1
252,1,1
253,1,1
254,1,1
255,0,0
256,1,1
257,1,1
258,1,1
259,1,1
260,0,0
261,0,0
262,1,1
263,0,0
264,0,0
265,1,1
266,1,1
267,1,1
268,1,1
269,1,1
270,1,1
271,1,1
272,0,0
273,1,1
274,0,0
275,1,1
276,0,0
277,1,1
278,0,0
279,0,0
280,1,1
281,1,1
282,0,0
283,1,0
284,1,1
285,0,0
286,0,0
