taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	NCBI Assembly Accession	Genome Size   * assembled	Gene Count   * assembled	
3007351439	Bacteria	Finished	Clinical carbapenem-resistant pathogens of different species	Pseudomonas aeruginosa CCUG 70744	Chalmers University of Technology	3007351439	GCA_003194245.1	6859232	6622	
2888794632	Bacteria	Permanent Draft	Genome sequencing of gram negative bacterial pathogens to study Carbapenemase detection	Pseudomonas aeruginosa AR_0108	Centers for Disease Control and Prevention	2888794632	GCA_001875215.1	6971125	6636	
637000218	Bacteria	Finished	Pseudomonas aeruginosa PAO1 An opportunistic pathogen	Pseudomonas aeruginosa PAO1	Chiron Corporation, University of Washington	637000218	GCA_000006765	6264404	5671	
3007344978	Bacteria	Finished	Genome sequencing of gram negative bacterial pathogens to study Carbapenemase detection	Pseudomonas aeruginosa AR_0095	Centers for Disease Control and Prevention	3007344978	GCA_002997005.1	6822666	6456	
2645727644	Bacteria	Permanent Draft	Sequencing of Pseudomonas syringae pv. porri strains - plant pathogens of Allium porrum	Pseudomonas coronafaciens pv. porri LMG 28496	Institute for Agricultural and Fisheries Research (ILVO)	2645727644	GCA_001275735.1	6178600	5895	
2724679067	Bacteria	Permanent Draft	Gram-negative Pathogen Genome Sequencing - Miami University	Pseudomonas aeruginosa 105857	Miami University	2724679067	GCA_001601665.1	6933765	6707	
2648501127	Bacteria	Permanent Draft	Sequencing of Pseudomonas syringae pv. porri strains - plant pathogens of Allium porrum	Pseudomonas coronafaciens pv. porri LMG 28495	Institute for Agricultural and Fisheries Research (ILVO)	2648501127	GCA_001275725.1	5964313	5669	
2728369079	Bacteria	Permanent Draft	Gram-negative Pathogen Genome Sequencing - Miami University	Pseudomonas aeruginosa 105777	Miami University	2728369079	GCA_001560865.1	7408561	7141	
2675903518	Bacteria	Permanent Draft	Gram-negative Pathogen Genome Sequencing - Miami University	Pseudomonas aeruginosa 105880	Miami University	2675903518	GCA_001601585.1	6914271	6609	
2945748529	Bacteria	Finished	Pathogen bacteria Pseudomonas aeruginosa AU15873 sequence	Pseudomonas aeruginosa AU15873	Microbial Genome Sequencing Center (MiGS)	2945748529		6826450	6519	
2724679068	Bacteria	Permanent Draft	Gram-negative Pathogen Genome Sequencing - Miami University	Pseudomonas aeruginosa 105738	Miami University	2724679068	GCA_001601595.1	6783146	6391	
2888801269	Bacteria	Permanent Draft	Genome sequencing of gram negative bacterial pathogens to study Carbapenemase detection	Pseudomonas aeruginosa AR_0100	Centers for Disease Control and Prevention	2888801269	GCA_001874975.1	6929574	6695	
2886129330	Bacteria	Finished	Genome sequencing of gram negative bacterial pathogens to study Carbapenemase detection	Pseudomonas aeruginosa FDA-CDC-AR_0111	Centers for Disease Control and Prevention	2886129330	GCA_003571805.1	7075653	6815	
2724679066	Bacteria	Permanent Draft	Gram-negative Pathogen Genome Sequencing - Miami University	Pseudomonas aeruginosa 105819	Miami University	2724679066	GCA_001601745.1	7208927	6820	
2872534562	Bacteria	Finished	Sequencing of MDR ESKAPE pathogens	Pseudomonas aeruginosa 97	Norwegian National Advisory Unit on Detection of Antimicrobial Resistance	2872534562	GCA_002411865.3	6925889	6656	
2888721290	Bacteria	Finished	Genome sequencing of gram negative bacterial pathogens to study Carbapenemase detection	Pseudomonas aeruginosa AR_0110	Centers for Disease Control and Prevention	2888721290	GCA_003204335.1	6799785	6495	
