"","taxon_oid","NCBI.Assembly.Accession","Species","Biotic.Relationships","Habitat","Isolation","Phenotype","Relevance","Host.Name","Diseases","Ecosystem","Ecosystem.Category","Ecosystem.Subtype","Ecosystem.Type","Specific.Ecosystem"
"1",2740892069,"GCA_001554655.1","Pseudomonas aeruginosa",NA,NA,"Sputum",NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Sputum/Phlegm","Respiratory system","Unclassified"
"2",8011325151,"GCA_015680705.1","Pseudomonas fulva",NA,NA,"fish",NA,"Agricultural",NA,NA,"Host-associated","Fish","Unclassified","Unclassified","Unclassified"
"3",2531839224,"GCA_000262065","Pseudomonas furukawaii",NA,"Host, Soil","Soil near a biphenyl manufacturing plant, then grown by enrichment culture with biphenyl as sole carbon source",NA,"Environmental",NA,NA,"Environmental","Terrestrial","Unclassified","Soil","Unclassified"
"4",2731958024,"GCA_001374875.1","Pseudomonas aeruginosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2886129330,"GCA_003571805.1","Pseudomonas aeruginosa",NA,"Clinical isolate",NA,NA,"Medical",NA,NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"6",8045190024,"GCA_003700425.1","Pseudomonas amygdali",NA,NA,NA,NA,"Evolution",NA,NA,NA,NA,NA,NA,NA
"7",2524614586,"GCA_000452645","Pseudomonas syringae","Free living","Host","Isolated from the Post Farm, experimental farm of Montana State University, Bozeman",NA,"Agricultural",NA,NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"8",2885888304,"GCA_002112635.1","Pseudomonas sp. R21(2017)",NA,NA,"rhizosphere soil from sugare cane field",NA,"Agricultural",NA,NA,"Environmental","Terrestrial","Loam","Soil","Agricultural soil"
"9",2667527223,"GCA_900105885.1","Pseudomonas guangdongensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2740892099,"GCA_001555335.1","Pseudomonas aeruginosa",NA,NA,"Sputum",NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Sputum/Phlegm","Respiratory system","Unclassified"
"11",2728369042,"GCA_001542955.1","Pseudomonas putida",NA,NA,"Tree Bark",NA,"Agricultural",NA,NA,"Host-associated","Plants","Bark","Tissue","Unclassified"
"12",2728368928,"GCA_001538095.1","Pseudomonas syringae",NA,NA,"Plant material",NA,"Evolution",NA,NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"13",2788499825,NA,"Pseudomonas helmanticensis",NA,NA,NA,NA,NA,"Caenorhabditis elegans",NA,"Host-associated","Invertebrates","Unclassified","Nematoda","Unclassified"
"14",2563367035,"GCA_000416945.1","Pseudomonas syringae",NA,NA,NA,NA,NA,"Actinidia",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"15",2852612431,NA,"Pseudomonas sp. SJZ073",NA,NA,"Isolated from rhizosphere soil",NA,NA,"Ammophila breviligulata",NA,"Host-associated","Plants","Rhizosphere","Roots","Soil"
"16",2645728061,"GCA_001293985.1","Pseudomonas amygdali",NA,NA,NA,NA,"Evolution",NA,NA,NA,NA,NA,NA,NA
"17",8086666453,"GCA_029814935.1","Pseudomonas sp. GD03919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2969252327,"GCA_003852355.1","Pseudomonas sp. R2-7-07",NA,NA,"wheat rhizosphere",NA,"Agricultural","Triticum sp.",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"19",3007425842,"GCA_014472415.1","Pseudomonas sp. N40(2020)",NA,NA,"Glacial forefield (soil)",NA,"Environmental",NA,NA,"Environmental","Terrestrial","Unclassified","Soil","Unclassified"
"20",2582580907,"GCA_000520215.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical",NA,NA,NA,NA,NA,NA,NA
"21",8010912407,"GCA_003834305.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Model Organism","Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"22",2935458641,NA,"Pseudomonas reinekei",NA,NA,"Soil",NA,NA,NA,NA,"Environmental","Terrestrial","Unclassified","Soil","Unclassified"
"23",2888734210,"GCA_003713085.1","Pseudomonas aeruginosa",NA,NA,"blood",NA,NA,"Homo sapiens",NA,"Host-associated","Mammals: Human","Blood","Circulatory system","Unclassified"
"24",2511231015,"GCA_000282355.1","Pseudomonas sp. GM49",NA,"Root nodule",NA,NA,"Agricultural","Populus deltoides",NA,"Host-associated","Plants","Nodule","Roots","Unclassified"
"25",2740892080,"GCA_001554805.1","Pseudomonas aeruginosa",NA,NA,"Sputum",NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Sputum/Phlegm","Respiratory system","Unclassified"
"26",3007731458,"GCA_003731765.1","Pseudomonas chlororaphis",NA,NA,"Mississippi River",NA,"Agricultural",NA,NA,"Environmental","Aquatic","Unclassified","Freshwater","Unclassified"
"27",8045129901,"GCA_900600975.1","Pseudomonas viridiflava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",8073372055,"GCA_003976275.1","Pseudomonas aeruginosa",NA,NA,"sputum",NA,"Model Organism","Homo sapiens","Cystic Fibrosis","Host-associated","Mammals: Human","Sputum/Phlegm","Respiratory system","Unclassified"
"29",8044184997,"GCA_003416035.1","Pseudomonas coronafaciens",NA,NA,NA,NA,"Evolution","Coffea arabica",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"30",2969263696,"GCA_002968955.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical",NA,NA,NA,NA,NA,NA,NA
"31",2933507292,NA,"Pseudomonas sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2512047018,"GCA_000237045","Pseudomonas chlororaphis","Free living","Rhizosphere, Soil","green pepper rhizosphere",NA,"Biocontrol",NA,NA,"Host-associated","Plants","Rhizosphere","Roots","Soil"
"33",2791355532,"GCA_002883455.1","Pseudomonas sp. FW305-25",NA,NA,"Groundwater from well: FW305",NA,"Environmental",NA,NA,"Environmental","Aquatic","Groundwater","Freshwater","Unclassified"
"34",2795385510,"GCA_002883785.1","Pseudomonas sp. FW306-2-11AA",NA,NA,"Groundwater from well: FW306",NA,"Environmental",NA,NA,"Environmental","Aquatic","Groundwater","Freshwater","Unclassified"
